               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093069,              0.2408,            0.057634,            0.026965,            0.047628,            0.019382,           0.0039647,            0.079767,            0.053139,            0.042566,               0.003,               0.003,               0.073
                   1,            0.072794,            0.077537,            0.035578,             0.73479,            0.069823,            0.094528,            0.033656,            0.057616,            0.048139,            0.036036,           0.0059803,           0.0059803,             0.04588
                   2,            0.066931,            0.074562,            0.032926,             0.21815,             0.22911,            0.099582,            0.034934,            0.057062,            0.046644,            0.033563,           0.0089307,           0.0089307,            0.018731
                   3,            0.061286,            0.073301,            0.027928,             0.55085,              0.2017,             0.15617,            0.062482,            0.049375,            0.045178,            0.027305,           0.0098515,           0.0098515,           0.0098515
                   4,            0.054914,            0.071975,            0.024904,             0.71294,             0.21061,             0.18124,             0.08274,            0.044945,            0.043999,            0.024492,           0.0098515,           0.0098515,           0.0098515
                   5,            0.051607,            0.071261,            0.023808,             0.86591,             0.17335,             0.19511,            0.096118,            0.041379,            0.045218,            0.023573,            0.009802,            0.009802,            0.009802
                   6,             0.04907,            0.069795,            0.022902,             0.73497,             0.23199,             0.23191,             0.11875,            0.039573,            0.041421,            0.021572,           0.0097525,           0.0097525,           0.0097525
                   7,             0.04737,            0.069258,            0.021922,             0.29616,             0.42939,             0.24685,              0.1269,            0.039243,            0.041606,            0.020841,            0.009703,            0.009703,            0.009703
                   8,             0.04643,            0.067468,             0.02145,             0.50193,              0.2778,             0.25702,             0.14304,            0.036749,            0.040013,            0.019963,           0.0096535,           0.0096535,           0.0096535
                   9,             0.04467,            0.066495,            0.020248,              0.4225,              0.3849,             0.30734,             0.17224,            0.034721,            0.038909,            0.018788,            0.009604,            0.009604,            0.009604
                  10,            0.044289,            0.065704,            0.019224,             0.20477,             0.47081,              0.2858,             0.16043,            0.035844,            0.038977,            0.019274,           0.0095545,           0.0095545,           0.0095545
                  11,             0.04339,            0.065372,            0.018758,             0.70439,             0.22883,             0.26306,             0.14475,            0.036524,            0.042742,            0.022462,            0.009505,            0.009505,            0.009505
                  12,            0.041833,            0.064599,            0.017853,              0.5286,             0.41796,             0.42291,             0.23617,            0.032453,            0.036939,            0.015619,           0.0094555,           0.0094555,           0.0094555
                  13,            0.041857,            0.063315,            0.016734,             0.72345,             0.42264,             0.47146,             0.27008,             0.03199,            0.036937,             0.01444,            0.009406,            0.009406,            0.009406
                  14,             0.04104,            0.063176,            0.015588,             0.70848,             0.43136,             0.49197,              0.2843,            0.031412,            0.037475,            0.013146,           0.0093565,           0.0093565,           0.0093565
                  15,            0.039969,            0.062241,            0.014983,             0.74678,             0.45785,             0.52318,             0.31256,            0.030655,            0.035597,            0.012067,            0.009307,            0.009307,            0.009307
                  16,            0.040035,            0.061973,             0.01428,             0.74182,             0.48213,              0.5448,             0.31779,            0.030696,            0.035201,            0.010972,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039233,            0.062285,            0.013381,             0.80152,             0.44904,             0.52597,             0.30827,             0.03033,            0.035271,            0.010732,            0.009208,            0.009208,            0.009208
                  18,            0.038852,            0.061493,            0.012798,             0.76341,               0.491,             0.57162,              0.3409,            0.030539,            0.035148,           0.0099223,           0.0091585,           0.0091585,           0.0091585
                  19,            0.038543,            0.060719,            0.012514,             0.79019,             0.47545,             0.55953,             0.34173,            0.029202,            0.034759,            0.011481,            0.009109,            0.009109,            0.009109
                  20,            0.037805,            0.060676,             0.01225,             0.79975,             0.49941,             0.60936,             0.37287,            0.029132,            0.034177,           0.0088952,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038086,            0.061101,            0.013132,             0.71875,             0.46984,             0.49542,             0.28768,            0.031616,            0.037311,            0.012463,             0.00901,             0.00901,             0.00901
                  22,            0.037841,            0.061556,            0.012658,             0.50111,             0.67878,             0.62586,             0.39257,            0.028882,            0.033904,           0.0093569,           0.0089605,           0.0089605,           0.0089605
