               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085911,              0.2082,            0.053239,              0.9088,            0.059309,            0.067748,            0.022136,            0.061236,            0.048392,            0.036959,               0.006,               0.006,               0.076
                   1,            0.069391,            0.072781,            0.031687,             0.74412,            0.031185,            0.016716,           0.0032132,            0.081198,            0.052989,            0.034326,            0.012019,            0.012019,            0.051919
                   2,             0.06363,            0.071764,            0.027124,             0.78005,              0.1438,             0.10507,            0.034955,            0.058045,             0.06803,            0.027977,            0.018036,            0.018036,            0.027836
                   3,             0.05854,            0.071915,            0.025273,             0.84944,             0.15999,             0.16554,            0.064835,            0.049944,            0.049254,            0.026887,            0.019989,            0.019989,            0.019989
                   4,            0.052034,            0.069206,            0.022723,             0.61021,             0.27804,             0.25345,             0.12065,            0.041313,            0.041698,             0.02054,            0.019989,            0.019989,            0.019989
                   5,            0.048755,            0.068626,            0.020848,             0.62406,             0.26991,             0.24256,             0.12063,            0.039926,            0.041658,            0.023893,             0.01998,             0.01998,             0.01998
                   6,            0.046741,            0.067681,            0.019528,             0.64814,             0.31167,             0.30281,             0.15138,            0.039128,            0.040618,            0.017941,            0.019969,            0.019969,            0.019969
                   7,             0.04518,            0.065625,            0.018373,             0.71701,             0.33818,             0.36187,             0.18233,            0.036728,            0.039557,            0.017448,            0.019956,            0.019956,            0.019956
                   8,            0.043684,            0.064987,            0.017052,             0.67933,             0.38797,             0.42418,             0.21889,             0.03563,            0.039102,            0.014972,             0.01994,             0.01994,             0.01994
                   9,            0.042952,             0.06429,            0.015953,             0.70326,             0.39336,             0.42429,             0.22413,            0.034419,            0.038853,            0.017335,            0.019922,            0.019922,            0.019922
                  10,            0.041926,             0.06399,            0.014827,             0.76132,             0.46327,             0.52841,              0.2912,            0.032965,            0.036931,            0.011212,            0.019901,            0.019901,            0.019901
                  11,            0.041112,            0.063479,             0.01369,              0.7714,             0.47245,             0.55058,              0.3098,            0.031851,            0.036099,            0.010659,            0.019878,            0.019878,            0.019878
                  12,            0.040326,            0.061808,            0.013327,             0.76231,             0.48979,             0.53975,             0.31427,            0.031132,            0.036169,            0.011583,            0.019853,            0.019853,            0.019853
                  13,            0.039345,            0.062552,            0.012701,              0.7674,             0.49078,             0.53535,             0.30755,            0.030603,            0.036521,           0.0094068,            0.019825,            0.019825,            0.019825
                  14,            0.038963,            0.061939,            0.012222,             0.76075,             0.48233,             0.57057,             0.32521,            0.031289,            0.036914,            0.008922,            0.019794,            0.019794,            0.019794
                  15,            0.038682,            0.060652,            0.011658,             0.83015,             0.50473,             0.66058,             0.38297,            0.030154,            0.034793,           0.0084487,            0.019762,            0.019762,            0.019762
                  16,            0.037967,            0.060099,            0.011437,             0.80801,             0.48891,             0.58724,             0.35785,            0.029021,            0.034812,            0.012276,            0.019726,            0.019726,            0.019726
                  17,            0.037684,            0.061082,            0.010929,             0.50982,             0.68419,             0.67476,             0.40221,            0.028766,            0.034475,           0.0078722,            0.019689,            0.019689,            0.019689
                  18,            0.037184,            0.059683,            0.010726,               0.726,             0.57424,             0.60889,             0.36129,            0.029594,            0.034077,           0.0091414,            0.019649,            0.019649,            0.019649
                  19,             0.03649,            0.058763,            0.010659,             0.57175,             0.71221,             0.68232,             0.42195,            0.028302,            0.033803,           0.0071685,            0.019607,            0.019607,            0.019607
                  20,            0.037072,            0.058764,            0.010033,             0.63415,              0.7189,             0.73197,             0.45784,            0.027559,            0.033018,            0.006869,            0.019562,            0.019562,            0.019562
                  21,            0.036439,            0.059032,           0.0097815,             0.76762,             0.61674,             0.74081,             0.46483,            0.026946,            0.033288,           0.0074156,            0.019515,            0.019515,            0.019515
                  22,            0.035839,            0.058224,           0.0091763,             0.62444,             0.77259,             0.77209,             0.48005,            0.027004,            0.032893,           0.0056058,            0.019466,            0.019466,            0.019466
                  23,             0.03582,            0.059324,            0.009001,             0.64687,              0.7696,             0.77427,              0.4972,            0.026942,            0.032473,           0.0057058,            0.019415,            0.019415,            0.019415
                  24,            0.035557,            0.057245,           0.0090793,             0.70255,             0.74608,             0.76718,             0.47852,            0.026756,            0.032224,           0.0053491,            0.019361,            0.019361,            0.019361
                  25,            0.035083,            0.058818,           0.0083461,              0.7607,             0.76624,             0.81085,             0.51112,             0.02623,            0.031992,           0.0045444,            0.019305,            0.019305,            0.019305
                  26,             0.03476,             0.05727,           0.0080573,             0.79856,             0.74048,             0.82491,             0.52361,            0.026267,             0.03134,           0.0048223,            0.019246,            0.019246,            0.019246
                  27,            0.034554,              0.0578,           0.0081539,              0.7954,             0.76749,             0.82535,             0.52451,            0.025885,             0.03106,           0.0045394,            0.019186,            0.019186,            0.019186
                  28,            0.034645,            0.057242,           0.0080119,             0.81323,             0.76224,             0.83512,             0.52873,            0.025995,            0.031209,           0.0043412,            0.019123,            0.019123,            0.019123
                  29,            0.034391,            0.057206,            0.007926,              0.8285,             0.73543,             0.82519,             0.52137,            0.025617,            0.031175,           0.0053314,            0.019058,            0.019058,            0.019058
                  30,            0.034041,            0.056493,            0.007444,             0.80258,             0.77357,             0.83923,             0.54233,            0.025188,            0.031048,           0.0048602,             0.01899,             0.01899,             0.01899
                  31,             0.03369,            0.056171,           0.0072066,             0.82707,             0.78423,             0.85311,             0.54348,            0.025411,            0.031026,           0.0042476,            0.018921,            0.018921,            0.018921
                  32,            0.033655,            0.055717,           0.0070701,             0.81627,             0.78363,             0.84337,             0.54425,            0.025265,             0.03097,           0.0038233,            0.018849,            0.018849,            0.018849
                  33,            0.033545,            0.055504,           0.0073019,             0.85876,             0.76609,             0.86046,             0.55458,            0.024841,            0.030201,           0.0037514,            0.018775,            0.018775,            0.018775
                  34,            0.032819,            0.054945,           0.0067287,             0.81188,             0.82049,             0.87351,              0.5732,            0.024722,            0.029829,           0.0033082,            0.018699,            0.018699,            0.018699
                  35,            0.032682,            0.055507,           0.0068066,             0.86287,             0.78431,             0.86821,             0.57854,            0.024207,            0.029745,           0.0034019,            0.018621,            0.018621,            0.018621
                  36,            0.032992,            0.056078,           0.0065604,             0.84086,             0.83086,             0.89695,             0.58539,            0.024014,            0.029675,           0.0028577,            0.018541,            0.018541,            0.018541
                  37,            0.032824,            0.054344,           0.0066665,             0.83598,             0.79178,               0.882,             0.57011,            0.024072,            0.029591,            0.004163,            0.018459,            0.018459,            0.018459
                  38,            0.032375,            0.054294,           0.0066019,             0.84255,             0.79863,             0.87215,             0.57362,            0.023807,            0.029833,           0.0032522,            0.018374,            0.018374,            0.018374
                  39,            0.032291,            0.054782,           0.0064778,             0.82205,             0.84391,             0.88964,             0.59577,            0.023709,            0.029961,           0.0028122,            0.018288,            0.018288,            0.018288
                  40,            0.032148,            0.054468,           0.0063934,             0.83493,             0.84124,             0.89199,             0.60637,            0.023444,            0.028798,           0.0030502,              0.0182,              0.0182,              0.0182
                  41,            0.032097,            0.053917,            0.006214,             0.85027,             0.84466,             0.89048,             0.59562,            0.023309,             0.02893,           0.0028791,            0.018109,            0.018109,            0.018109
                  42,             0.03176,            0.053302,           0.0059782,             0.85114,             0.83334,             0.89827,             0.61107,             0.02329,            0.028827,           0.0029969,            0.018017,            0.018017,            0.018017
                  43,            0.031781,            0.054329,           0.0060887,             0.84506,             0.83649,             0.90306,             0.60829,             0.02312,            0.028572,           0.0025734,            0.017923,            0.017923,            0.017923
                  44,            0.031747,            0.053644,           0.0058811,             0.85934,             0.85131,             0.91524,             0.61658,            0.022891,             0.02835,           0.0026377,            0.017826,            0.017826,            0.017826
                  45,            0.031563,            0.053619,           0.0059708,             0.83624,             0.86004,             0.91186,             0.61577,            0.022853,            0.028367,           0.0025458,            0.017728,            0.017728,            0.017728
                  46,            0.031056,            0.053535,           0.0057163,             0.87266,             0.85121,             0.92307,             0.62692,            0.022603,            0.028067,           0.0022416,            0.017628,            0.017628,            0.017628
                  47,            0.031172,            0.053997,           0.0059319,             0.87183,             0.86518,             0.92479,             0.62894,            0.022585,            0.028086,           0.0024945,            0.017526,            0.017526,            0.017526
                  48,            0.031365,             0.05397,            0.005906,             0.84734,             0.87305,              0.9205,             0.63412,            0.022308,            0.027786,           0.0022239,            0.017422,            0.017422,            0.017422
                  49,            0.030977,            0.053055,           0.0055943,             0.85454,             0.88376,             0.92886,             0.63672,            0.022167,            0.027561,           0.0021005,            0.017317,            0.017317,            0.017317
                  50,            0.030582,            0.052507,           0.0056855,             0.83184,             0.89426,             0.92671,             0.64204,            0.022152,            0.027678,           0.0021112,            0.017209,            0.017209,            0.017209
                  51,            0.030767,            0.052606,           0.0054617,             0.87583,             0.86759,             0.92629,             0.63676,             0.02202,            0.027231,           0.0022711,              0.0171,              0.0171,              0.0171
                  52,            0.030484,            0.052978,           0.0055361,             0.88648,             0.85292,             0.93244,             0.64128,            0.022014,            0.027191,           0.0021475,             0.01699,             0.01699,             0.01699
                  53,              0.0305,            0.053334,           0.0052973,             0.88597,              0.8564,             0.92861,             0.64576,            0.021889,              0.0274,           0.0020383,            0.016877,            0.016877,            0.016877
                  54,             0.03068,            0.052491,           0.0054961,             0.88579,             0.85248,             0.92996,             0.63404,            0.021922,            0.027205,           0.0021788,            0.016763,            0.016763,            0.016763
                  55,            0.030107,            0.052289,           0.0053915,             0.87464,             0.87151,             0.92635,             0.64239,            0.021651,            0.027082,           0.0018314,            0.016647,            0.016647,            0.016647
                  56,            0.030309,            0.052427,           0.0052711,              0.8511,             0.87345,             0.92426,             0.64656,            0.021455,             0.02702,           0.0019684,             0.01653,             0.01653,             0.01653
                  57,            0.029989,            0.052281,           0.0052624,             0.88534,             0.88622,             0.93872,              0.6553,            0.021453,            0.026628,           0.0017336,             0.01641,             0.01641,             0.01641
                  58,            0.030057,            0.052222,           0.0051688,              0.8991,             0.87624,             0.94302,             0.66404,            0.021134,            0.026536,           0.0016837,             0.01629,             0.01629,             0.01629
                  59,            0.029835,            0.051688,           0.0050246,             0.88581,             0.87978,             0.94322,             0.66196,            0.021251,            0.026522,           0.0017752,            0.016168,            0.016168,            0.016168
                  60,            0.029671,            0.051297,           0.0050309,             0.87949,             0.90773,              0.9407,             0.65973,            0.021136,            0.026443,           0.0018013,            0.016044,            0.016044,            0.016044
                  61,            0.029601,            0.051874,           0.0051277,             0.87353,              0.9187,             0.94483,             0.66607,            0.020909,            0.026244,           0.0017731,            0.015919,            0.015919,            0.015919
                  62,            0.029639,            0.050989,           0.0050696,             0.89524,             0.87907,             0.94398,             0.66506,            0.020933,            0.026007,           0.0015987,            0.015793,            0.015793,            0.015793
                  63,            0.029513,            0.050844,           0.0051226,             0.89051,              0.9022,             0.94769,             0.67071,            0.020831,            0.025963,           0.0017202,            0.015665,            0.015665,            0.015665
                  64,            0.029452,            0.051587,           0.0048197,             0.88608,             0.90888,             0.94703,             0.67065,            0.020699,            0.025951,           0.0017207,            0.015535,            0.015535,            0.015535
                  65,            0.029154,            0.050985,           0.0047315,             0.88485,             0.91695,             0.94981,              0.6774,            0.020644,            0.026021,           0.0014651,            0.015405,            0.015405,            0.015405
                  66,            0.028894,            0.049933,           0.0047809,             0.90429,             0.90355,             0.95136,              0.6787,            0.020577,            0.025559,           0.0013205,            0.015273,            0.015273,            0.015273
                  67,            0.029019,            0.051027,           0.0045077,             0.91137,              0.9104,             0.95419,             0.68024,            0.020411,            0.025445,           0.0013982,             0.01514,             0.01514,             0.01514
                  68,            0.028964,              0.0508,           0.0048334,             0.88162,             0.91645,             0.95174,             0.67999,            0.020475,            0.025456,           0.0014881,            0.015005,            0.015005,            0.015005
