               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089518,             0.24177,            0.058804,             0.90934,            0.064422,            0.050985,            0.012121,            0.071502,            0.049455,            0.039628,               0.005,               0.005,                0.08
                   1,            0.072135,            0.075441,            0.034238,              0.7662,             0.13489,             0.08908,            0.029553,            0.060901,            0.046951,            0.032532,            0.010019,            0.010019,            0.059919
                   2,            0.068378,            0.072509,             0.02857,              0.8057,             0.13135,             0.12086,            0.040703,            0.055966,            0.047377,            0.028977,            0.015036,            0.015036,            0.039836
                   3,            0.063925,             0.07342,            0.026488,             0.78812,             0.11939,            0.087183,            0.024277,            0.058952,            0.049715,            0.032135,            0.019989,            0.019989,            0.019989
                   4,               0.057,            0.070439,            0.024752,             0.87596,             0.16767,             0.19801,            0.088818,            0.043386,            0.044397,            0.023817,            0.019989,            0.019989,            0.019989
                   5,            0.052618,            0.069503,            0.023486,             0.70725,             0.24299,             0.20158,             0.09025,             0.04328,            0.042897,            0.023825,             0.01998,             0.01998,             0.01998
                   6,            0.050486,            0.069321,            0.022629,             0.88192,             0.17514,             0.22305,            0.093578,             0.04452,             0.04374,            0.020578,            0.019969,            0.019969,            0.019969
                   7,            0.048012,            0.067431,            0.021226,             0.59486,              0.3194,              0.2575,             0.13001,            0.038308,            0.043504,            0.019353,            0.019956,            0.019956,            0.019956
                   8,            0.047061,            0.067133,            0.020518,             0.64779,             0.29418,             0.29437,             0.15024,            0.036984,            0.041537,            0.019055,             0.01994,             0.01994,             0.01994
                   9,            0.045516,            0.064953,            0.018987,             0.58437,             0.37606,             0.34427,             0.18276,            0.036829,            0.040126,            0.017176,            0.019922,            0.019922,            0.019922
                  10,             0.04478,            0.065086,            0.017744,             0.62112,             0.42181,             0.40166,             0.20121,            0.036388,            0.039489,             0.01489,            0.019901,            0.019901,            0.019901
                  11,            0.043702,            0.064697,            0.016628,             0.66624,             0.42428,             0.43278,             0.22647,            0.034776,            0.038518,            0.014248,            0.019878,            0.019878,            0.019878
                  12,            0.042937,            0.063671,            0.015431,             0.69147,             0.46967,             0.48256,             0.24418,            0.034448,            0.037952,            0.012155,            0.019853,            0.019853,            0.019853
                  13,            0.042122,            0.063154,            0.014288,             0.73783,              0.4629,             0.49665,             0.25992,            0.033027,            0.037559,            0.012661,            0.019825,            0.019825,            0.019825
