               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093011,             0.16507,            0.056969,             0.88973,            0.036878,            0.027022,           0.0057488,            0.072992,            0.055748,            0.040539,               0.006,               0.006,               0.076
                   1,            0.076486,            0.081038,            0.036539,             0.91678,            0.062975,            0.069217,            0.020292,            0.069233,            0.047927,              0.0372,            0.012019,            0.012019,            0.051919
                   2,            0.070686,            0.075046,            0.032453,             0.47575,             0.24082,            0.083863,            0.023351,             0.06444,            0.060595,            0.032545,            0.018036,            0.018036,            0.027836
                   3,            0.064959,            0.074462,            0.029313,             0.65223,             0.15896,             0.11225,            0.043633,             0.05328,            0.049679,            0.029712,            0.019989,            0.019989,            0.019989
                   4,             0.05895,            0.075396,            0.027519,             0.79639,             0.13177,             0.11178,            0.048508,            0.049429,            0.055365,            0.032965,            0.019989,            0.019989,            0.019989
                   5,            0.055174,            0.074904,            0.026133,             0.85667,             0.16382,              0.1842,            0.087652,            0.044472,            0.046849,            0.024722,             0.01998,             0.01998,             0.01998
                   6,            0.053344,            0.073458,             0.02521,             0.70226,             0.23291,             0.18969,             0.09125,            0.043264,            0.044287,            0.024998,            0.019969,            0.019969,            0.019969
                   7,            0.051108,            0.073007,            0.024515,             0.57526,              0.2247,             0.18905,            0.091401,            0.043541,            0.044211,            0.024396,            0.019956,            0.019956,            0.019956
                   8,            0.049416,            0.072081,            0.023793,             0.43136,             0.28987,             0.21069,             0.11085,            0.040049,            0.043822,            0.023004,             0.01994,             0.01994,             0.01994
                   9,            0.048478,            0.071278,            0.023707,             0.57451,             0.28589,             0.21425,             0.11221,            0.039389,            0.043744,            0.023424,            0.019922,            0.019922,            0.019922
                  10,            0.047762,            0.071277,            0.023165,             0.28973,             0.37279,             0.23029,             0.12398,            0.038974,            0.042239,            0.022251,            0.019901,            0.019901,            0.019901
                  11,             0.04681,            0.069768,            0.022278,             0.63492,             0.26742,             0.24964,             0.13641,            0.037621,             0.04217,            0.021175,            0.019878,            0.019878,            0.019878
