               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089883,             0.15719,            0.062201,             0.30264,             0.02168,           0.0082386,           0.0014368,            0.078244,            0.062319,            0.045867,               0.006,               0.006,               0.076
                   1,            0.075791,            0.080387,            0.038483,             0.01173,            0.080448,           0.0099749,           0.0019761,             0.09009,            0.082771,            0.049617,            0.012019,            0.012019,            0.051919
                   2,            0.067406,            0.073417,            0.034202,             0.39699,             0.17172,             0.09526,            0.031964,            0.060241,             0.04896,            0.031262,            0.018036,            0.018036,            0.027836
                   3,            0.061672,            0.072063,            0.028996,             0.71793,              0.1488,             0.15771,            0.059928,            0.050073,            0.047645,            0.025454,            0.019989,            0.019989,            0.019989
                   4,            0.054993,            0.072906,            0.025418,             0.70998,             0.18717,              0.1785,            0.082934,            0.044783,            0.043543,            0.026658,            0.019989,            0.019989,            0.019989
                   5,            0.052048,            0.072711,             0.02461,             0.71456,              0.2139,             0.19619,            0.090158,            0.042371,            0.044237,            0.023826,             0.01998,             0.01998,             0.01998
                   6,            0.049782,            0.071031,            0.023461,             0.71926,             0.23893,             0.21262,             0.10842,            0.038991,            0.041901,             0.02311,            0.019969,            0.019969,            0.019969
                   7,            0.047408,            0.069045,             0.02293,             0.72535,             0.24756,             0.22596,             0.11275,            0.038269,            0.041482,            0.023593,            0.019956,            0.019956,            0.019956
                   8,            0.046293,            0.069498,            0.022054,             0.30753,             0.41535,             0.25683,             0.13293,            0.037063,            0.040462,            0.021393,             0.01994,             0.01994,             0.01994
                   9,            0.045078,            0.068424,            0.021921,             0.47685,             0.30336,             0.25935,             0.14277,            0.035495,            0.039752,            0.020746,            0.019922,            0.019922,            0.019922
                  10,            0.044284,            0.067025,            0.021488,             0.63133,             0.31099,              0.2609,             0.13855,            0.036119,            0.039755,            0.021974,            0.019901,            0.019901,            0.019901
                  11,             0.04326,            0.067288,             0.02058,             0.34002,             0.46379,             0.29181,             0.15874,            0.035013,            0.039864,            0.019917,            0.019878,            0.019878,            0.019878
                  12,            0.043222,            0.065587,            0.020272,             0.54083,             0.38315,             0.31468,             0.17196,            0.034362,            0.038725,            0.019023,            0.019853,            0.019853,            0.019853
                  13,             0.04232,            0.066222,            0.019262,             0.58111,             0.39599,             0.34719,             0.19791,            0.033306,             0.03756,            0.017922,            0.019825,            0.019825,            0.019825
                  14,            0.042116,            0.064861,            0.018662,             0.60672,             0.40101,             0.37783,             0.20884,            0.033873,            0.037715,             0.01735,            0.019794,            0.019794,            0.019794
                  15,            0.041724,            0.064828,            0.018141,             0.61615,             0.39653,             0.36402,             0.20697,             0.03309,            0.037853,            0.017215,            0.019762,            0.019762,            0.019762
                  16,            0.040859,            0.063603,            0.017552,             0.63307,             0.38347,             0.36509,             0.20826,            0.032944,            0.037544,            0.018422,            0.019726,            0.019726,            0.019726
                  17,            0.040468,            0.062989,               0.017,             0.67652,             0.43129,              0.4439,              0.2574,            0.031386,            0.036324,              0.0153,            0.019689,            0.019689,            0.019689
                  18,            0.040646,            0.063508,            0.017069,             0.72805,               0.408,             0.45163,             0.25762,              0.0308,            0.036074,            0.016587,            0.019649,            0.019649,            0.019649
                  19,            0.039663,            0.063405,            0.016006,             0.73995,             0.43665,             0.47951,              0.2801,            0.031001,            0.035723,            0.013732,            0.019607,            0.019607,            0.019607
                  20,            0.039359,            0.062738,            0.015764,             0.73317,              0.4476,             0.49536,             0.28149,            0.031985,            0.036813,            0.014067,            0.019562,            0.019562,            0.019562
                  21,            0.039228,            0.061851,            0.015366,             0.75777,             0.44916,             0.50215,             0.28883,            0.030291,            0.035726,             0.01292,            0.019515,            0.019515,            0.019515
                  22,            0.038905,             0.06214,            0.015122,             0.75898,             0.45648,             0.51636,             0.30246,            0.029671,            0.034722,             0.01267,            0.019466,            0.019466,            0.019466
                  23,            0.038282,            0.061287,            0.014792,             0.78939,             0.46134,             0.52234,             0.31159,            0.029639,            0.034745,             0.01233,            0.019415,            0.019415,            0.019415
                  24,            0.038444,            0.061151,            0.014203,             0.77851,             0.44005,             0.51456,             0.30093,             0.02912,            0.035061,            0.014082,            0.019361,            0.019361,            0.019361
                  25,            0.038299,            0.061202,            0.014503,             0.79061,             0.44155,              0.5156,             0.30293,            0.030039,            0.035995,            0.012035,            0.019305,            0.019305,            0.019305
                  26,            0.038028,            0.061689,            0.014093,             0.77035,             0.47879,             0.55682,             0.33915,            0.028835,            0.035094,            0.011638,            0.019246,            0.019246,            0.019246
                  27,            0.037813,            0.062136,            0.013643,             0.75799,             0.47995,             0.55048,             0.33343,            0.029176,            0.034328,            0.011967,            0.019186,            0.019186,            0.019186
                  28,            0.037613,            0.060777,            0.013576,              0.7865,             0.46258,             0.55399,             0.33782,            0.028838,            0.034355,            0.011083,            0.019123,            0.019123,            0.019123
                  29,             0.03725,             0.06063,            0.013131,              0.7594,             0.47593,             0.55309,             0.33934,            0.028939,            0.034227,            0.011356,            0.019058,            0.019058,            0.019058
                  30,            0.037304,            0.060654,            0.013027,             0.81467,             0.48032,             0.59799,             0.36941,            0.028118,            0.033536,            0.010261,             0.01899,             0.01899,             0.01899
                  31,            0.037269,            0.060396,            0.012784,             0.80906,              0.4987,             0.59921,             0.36733,            0.028074,            0.033505,           0.0097024,            0.018921,            0.018921,            0.018921
                  32,             0.03696,            0.059621,             0.01241,             0.51549,             0.63875,             0.60461,             0.37219,            0.028054,            0.033451,            0.009651,            0.018849,            0.018849,            0.018849
                  33,            0.036557,            0.060175,            0.012192,             0.58209,             0.61008,             0.62003,             0.38969,            0.027593,            0.033464,           0.0098709,            0.018775,            0.018775,            0.018775
                  34,            0.036716,            0.059898,            0.012253,             0.54646,             0.63304,              0.6108,             0.37836,            0.027599,            0.033864,           0.0092755,            0.018699,            0.018699,            0.018699
                  35,            0.036397,            0.059654,            0.012024,             0.59722,             0.61298,             0.62574,             0.39263,             0.02743,            0.032797,           0.0091011,            0.018621,            0.018621,            0.018621
                  36,             0.03628,            0.060149,            0.011684,             0.55864,             0.68897,             0.65733,             0.41414,            0.027177,            0.032564,           0.0086896,            0.018541,            0.018541,            0.018541
