               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022869,            0.040649,           0.0027127,             0.97737,             0.96979,             0.98979,             0.77805,            0.016384,             0.01829,          0.00043442,             0.00604,             0.00604,             0.07584
                   1,            0.026588,            0.042929,           0.0029687,             0.93681,             0.95834,             0.97794,             0.72038,            0.019328,            0.021214,           0.0012257,            0.012099,            0.012099,            0.051599
                   2,            0.030693,             0.04581,           0.0039783,             0.88632,             0.87279,             0.93482,             0.58418,            0.025237,            0.025335,           0.0030986,            0.018156,            0.018156,            0.027356
                   3,            0.032512,            0.049213,           0.0052547,             0.87018,             0.86866,             0.93108,             0.62802,            0.024258,            0.027057,           0.0032377,            0.019989,            0.019989,            0.019989
                   4,            0.031604,            0.049555,            0.005175,             0.88527,               0.881,             0.93843,             0.62352,            0.023025,            0.025977,           0.0025922,            0.019989,            0.019989,            0.019989
                   5,            0.031388,            0.049395,           0.0054651,             0.87841,             0.86864,             0.93485,             0.62271,            0.022687,            0.026019,           0.0028433,             0.01998,             0.01998,             0.01998
                   6,            0.030579,            0.049235,           0.0049919,             0.89209,             0.87337,             0.93862,             0.63888,            0.022475,             0.02553,           0.0021265,            0.019969,            0.019969,            0.019969
                   7,            0.030412,            0.048483,           0.0049077,              0.9165,             0.89089,             0.95264,              0.6464,            0.022098,            0.024416,           0.0019203,            0.019956,            0.019956,            0.019956
                   8,            0.030011,            0.047999,           0.0049474,             0.89406,             0.87561,             0.93655,             0.63152,            0.022478,            0.026581,           0.0023373,             0.01994,             0.01994,             0.01994
                   9,             0.02962,            0.048392,            0.004559,             0.88587,             0.90747,             0.94724,             0.64741,            0.021332,            0.024569,           0.0017465,            0.019922,            0.019922,            0.019922
                  10,            0.030103,            0.048937,           0.0050136,             0.82507,             0.88388,             0.89954,             0.60895,            0.021651,            0.025483,           0.0028566,            0.019901,            0.019901,            0.019901
                  11,            0.029496,            0.047735,           0.0043236,             0.91996,             0.91732,             0.96117,             0.67643,            0.020793,            0.023821,           0.0016849,            0.019878,            0.019878,            0.019878
                  12,            0.029327,            0.048301,           0.0047473,             0.92358,             0.90925,             0.95793,             0.69122,            0.020427,            0.023547,            0.002082,            0.019853,            0.019853,            0.019853
                  13,            0.029045,            0.047582,           0.0043683,             0.90498,             0.90604,             0.95887,             0.68666,            0.020602,            0.023717,           0.0021789,            0.019825,            0.019825,            0.019825
                  14,            0.029399,            0.048447,           0.0050501,             0.88851,             0.88121,             0.94907,             0.66964,            0.021176,            0.025955,           0.0020284,            0.019794,            0.019794,            0.019794
                  15,            0.029187,            0.047782,           0.0045939,             0.92056,             0.89879,             0.95909,             0.68297,            0.020923,            0.024007,           0.0019365,            0.019762,            0.019762,            0.019762
                  16,            0.028997,            0.047164,           0.0042287,             0.90886,             0.91603,             0.95876,             0.67878,            0.020179,            0.023579,           0.0016632,            0.019726,            0.019726,            0.019726
