               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087653,             0.22094,            0.052614,             0.90522,            0.059236,            0.055146,            0.015571,            0.066445,            0.046356,            0.038669,               0.006,               0.006,               0.076
                   1,            0.070979,            0.073298,            0.032421,             0.93841,            0.074624,             0.10991,            0.037486,            0.061136,            0.045074,            0.033106,            0.012019,            0.012019,            0.051919
                   2,             0.06573,            0.072723,            0.027536,             0.82543,             0.16402,             0.15796,            0.053331,            0.054451,            0.047287,            0.027607,            0.018036,            0.018036,            0.027836
                   3,            0.059638,            0.072076,             0.02562,             0.85824,             0.16526,             0.18799,            0.076332,            0.049147,            0.042557,            0.023958,            0.019989,            0.019989,            0.019989
                   4,            0.053543,            0.069291,            0.023261,             0.60209,             0.29169,             0.23845,             0.10784,            0.044613,            0.043034,            0.021349,            0.019989,            0.019989,            0.019989
                   5,            0.050119,            0.068585,            0.021798,             0.15825,             0.47894,             0.28168,             0.14305,            0.039192,            0.040786,            0.020931,             0.01998,             0.01998,             0.01998
                   6,            0.048423,            0.067248,            0.020145,             0.39285,             0.46012,              0.3455,             0.17784,            0.037687,            0.040312,            0.018181,            0.019969,            0.019969,            0.019969
                   7,            0.046265,            0.066135,            0.018596,             0.64924,             0.40601,             0.40336,             0.20939,            0.036954,            0.038534,            0.016135,            0.019956,            0.019956,            0.019956
                   8,            0.045042,            0.065372,             0.01754,             0.71494,             0.40279,             0.42388,             0.21712,            0.036246,            0.038297,            0.015137,             0.01994,             0.01994,             0.01994
                   9,            0.044148,            0.064384,            0.016492,             0.72419,             0.42112,             0.46129,             0.24915,            0.033683,            0.037258,             0.01384,            0.019922,            0.019922,            0.019922
                  10,             0.04293,            0.063832,            0.014911,             0.73256,             0.45574,             0.50991,             0.28439,            0.033181,            0.036565,            0.012292,            0.019901,            0.019901,            0.019901
                  11,            0.042018,            0.063261,            0.014064,             0.74766,             0.44438,             0.50065,             0.26893,            0.032171,            0.038921,            0.011154,            0.019878,            0.019878,            0.019878
                  12,            0.041396,            0.061901,            0.013185,             0.73787,             0.48583,             0.55762,             0.31262,            0.032569,            0.035802,            0.011225,            0.019853,            0.019853,            0.019853
                  13,            0.040777,            0.062334,            0.012746,             0.78819,             0.48715,             0.58527,             0.34192,            0.030708,            0.034916,            0.010606,            0.019825,            0.019825,            0.019825
                  14,            0.039979,            0.062048,            0.012106,              0.7243,             0.41889,             0.48355,             0.27611,            0.031046,            0.037216,            0.021817,            0.019794,            0.019794,            0.019794
                  15,            0.039849,            0.061127,            0.011965,             0.76129,             0.50565,             0.63402,             0.38318,            0.029736,            0.034218,           0.0089979,            0.019762,            0.019762,            0.019762
                  16,             0.03889,            0.060673,            0.011157,             0.55619,             0.70038,             0.67064,             0.40378,            0.029393,            0.034218,           0.0082996,            0.019726,            0.019726,            0.019726
                  17,            0.038355,            0.060269,            0.011026,             0.67772,             0.56022,             0.64173,             0.37939,            0.030282,            0.037144,           0.0086201,            0.019689,            0.019689,            0.019689
                  18,            0.038033,            0.059237,            0.010552,             0.68873,             0.58504,              0.6364,              0.3738,            0.029792,            0.033097,           0.0092027,            0.019649,            0.019649,            0.019649
                  19,            0.037427,            0.059197,            0.010616,             0.67938,             0.70674,             0.72796,              0.4456,            0.027953,            0.032537,           0.0071793,            0.019607,            0.019607,            0.019607
                  20,            0.037392,            0.059505,           0.0099903,             0.65184,             0.73052,             0.72767,             0.45925,            0.028338,            0.032855,           0.0074498,            0.019562,            0.019562,            0.019562
                  21,             0.03695,            0.058693,            0.009546,             0.68777,             0.71209,             0.75116,             0.48008,            0.027243,            0.032377,           0.0063668,            0.019515,            0.019515,            0.019515
                  22,            0.036448,            0.057983,            0.009645,             0.67701,             0.71684,             0.74699,             0.47497,            0.027141,            0.032106,           0.0076436,            0.019466,            0.019466,            0.019466
                  23,            0.036282,            0.057647,           0.0093367,             0.69664,             0.72525,             0.75744,             0.47797,            0.027436,            0.032322,             0.00689,            0.019415,            0.019415,            0.019415
                  24,            0.035659,            0.057447,           0.0087635,             0.72389,             0.73569,             0.77531,             0.48661,            0.026722,            0.032019,           0.0059353,            0.019361,            0.019361,            0.019361
                  25,             0.03609,            0.056802,           0.0088666,             0.79714,             0.72223,             0.79492,              0.4979,            0.027109,            0.032244,           0.0057118,            0.019305,            0.019305,            0.019305
                  26,            0.035599,            0.057171,           0.0084435,             0.82999,             0.69113,             0.79666,             0.50485,            0.026085,             0.03157,           0.0053935,            0.019246,            0.019246,            0.019246
                  27,            0.034816,            0.056618,            0.008008,             0.81766,              0.7319,             0.81633,             0.50521,            0.026302,            0.031243,           0.0047062,            0.019186,            0.019186,            0.019186
                  28,            0.034887,            0.056626,           0.0077747,             0.86002,             0.71046,             0.82689,             0.52422,            0.026145,            0.031067,           0.0043599,            0.019123,            0.019123,            0.019123
                  29,             0.03478,            0.056832,             0.00753,             0.81417,             0.79743,             0.86065,             0.54868,            0.025413,             0.03033,           0.0039911,            0.019058,            0.019058,            0.019058
                  30,            0.034525,            0.055807,           0.0074053,             0.85568,             0.77613,             0.86646,             0.55917,            0.025602,            0.030298,           0.0038537,             0.01899,             0.01899,             0.01899
                  31,             0.03455,            0.056386,            0.007376,              0.7957,             0.75035,             0.82327,             0.53361,            0.025358,             0.03057,           0.0053511,            0.018921,            0.018921,            0.018921
                  32,            0.034137,            0.054825,           0.0071597,             0.78603,             0.81489,             0.85416,             0.54669,            0.025305,            0.030135,           0.0040161,            0.018849,            0.018849,            0.018849
                  33,            0.033867,            0.055511,           0.0071317,             0.86689,             0.78102,             0.86342,               0.564,            0.024606,            0.029685,           0.0034776,            0.018775,            0.018775,            0.018775
                  34,            0.033782,            0.055539,           0.0069365,             0.82305,               0.799,             0.86612,             0.55893,            0.025086,            0.030303,           0.0038311,            0.018699,            0.018699,            0.018699
                  35,            0.033318,            0.055383,            0.006817,             0.83156,             0.80558,             0.87425,             0.57276,            0.024228,            0.029301,           0.0033733,            0.018621,            0.018621,            0.018621
                  36,            0.033146,            0.054336,           0.0065297,             0.85799,             0.79445,             0.87298,              0.5858,            0.023919,            0.029262,           0.0031311,            0.018541,            0.018541,            0.018541
                  37,            0.033442,            0.055336,           0.0064971,             0.85871,             0.82605,             0.89139,             0.58889,            0.024281,            0.028924,            0.002934,            0.018459,            0.018459,            0.018459
                  38,            0.032816,            0.053789,           0.0065167,             0.87976,             0.79943,             0.88965,             0.59502,            0.023812,            0.028499,           0.0031531,            0.018374,            0.018374,            0.018374
                  39,            0.032665,            0.054601,           0.0065449,             0.82608,             0.83829,             0.89427,             0.59092,            0.023801,            0.028567,           0.0028195,            0.018288,            0.018288,            0.018288
                  40,            0.032675,            0.052875,           0.0063541,             0.84163,             0.84854,             0.89188,             0.59688,            0.023411,            0.028347,           0.0030777,              0.0182,              0.0182,              0.0182
                  41,            0.032635,            0.053416,           0.0063433,             0.88122,             0.81115,              0.8979,              0.6025,            0.023043,             0.02802,           0.0027089,            0.018109,            0.018109,            0.018109
                  42,            0.032339,            0.054097,           0.0062201,             0.87622,             0.81994,             0.89849,             0.60172,            0.023495,            0.028174,           0.0026978,            0.018017,            0.018017,            0.018017
                  43,            0.031938,            0.053002,           0.0060674,             0.88428,             0.81807,             0.90597,             0.60368,            0.023124,            0.028107,           0.0026734,            0.017923,            0.017923,            0.017923
                  44,            0.032178,            0.053265,           0.0059253,             0.85682,             0.84835,             0.90783,             0.61806,            0.022901,            0.028124,           0.0030675,            0.017826,            0.017826,            0.017826
                  45,            0.031838,            0.052962,           0.0061344,             0.83098,             0.85512,             0.90102,             0.60891,            0.022812,            0.027607,           0.0027757,            0.017728,            0.017728,            0.017728
                  46,            0.031926,            0.052877,           0.0058661,             0.88081,             0.82725,             0.90894,             0.62013,            0.022613,            0.027468,           0.0027511,            0.017628,            0.017628,            0.017628
                  47,            0.031777,            0.051849,           0.0058282,             0.85643,              0.8414,             0.90439,             0.61598,            0.022389,            0.027303,           0.0024706,            0.017526,            0.017526,            0.017526
                  48,             0.03115,            0.052001,           0.0055198,             0.88255,             0.82603,             0.90514,             0.61287,            0.022105,            0.027131,           0.0023108,            0.017422,            0.017422,            0.017422
                  49,            0.031717,            0.052437,           0.0056679,             0.87601,             0.85586,             0.91689,             0.62148,            0.022266,            0.026967,           0.0023291,            0.017317,            0.017317,            0.017317
                  50,            0.031269,            0.052211,           0.0055581,              0.8614,             0.86105,             0.92002,             0.62805,            0.022359,            0.027215,           0.0019924,            0.017209,            0.017209,            0.017209
                  51,             0.03113,            0.052785,            0.005653,             0.87646,             0.87016,              0.9228,             0.64236,             0.02198,            0.026498,           0.0020035,              0.0171,              0.0171,              0.0171
                  52,            0.031003,            0.051888,           0.0056265,              0.8753,             0.87282,             0.92422,             0.63766,            0.021898,            0.026578,           0.0020929,             0.01699,             0.01699,             0.01699
                  53,            0.030896,            0.050946,           0.0054076,              0.8883,             0.85111,              0.9251,             0.64051,            0.021697,            0.026108,           0.0020947,            0.016877,            0.016877,            0.016877
                  54,             0.03076,            0.051304,           0.0055111,             0.88869,              0.8668,             0.93382,             0.65222,            0.021791,             0.02608,           0.0018687,            0.016763,            0.016763,            0.016763
                  55,            0.030547,            0.051856,           0.0054194,              0.8783,             0.88499,             0.93543,             0.65408,            0.021475,            0.025808,           0.0019421,            0.016647,            0.016647,            0.016647
                  56,            0.030622,            0.051133,            0.005179,             0.87154,             0.87399,             0.93018,              0.6507,            0.021427,            0.025667,           0.0020368,             0.01653,             0.01653,             0.01653
