               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084343,             0.18721,            0.054697,             0.90282,            0.060708,            0.058482,            0.015795,            0.061268,            0.050703,            0.038061,               0.006,               0.006,               0.076
                   1,            0.069353,            0.074124,            0.032571,            0.068905,             0.29887,             0.12138,            0.042074,            0.057979,            0.045721,            0.028376,            0.012019,            0.012019,            0.051919
                   2,            0.063596,            0.072856,            0.028163,             0.82405,             0.11748,             0.11287,             0.03765,            0.059088,            0.051991,            0.025499,            0.018036,            0.018036,            0.027836
                   3,            0.057863,            0.072053,            0.026082,             0.84328,              0.1561,             0.15762,            0.063914,            0.046454,            0.048594,            0.027496,            0.019989,            0.019989,            0.019989
                   4,            0.051606,            0.071728,            0.023249,             0.88027,             0.16413,             0.21022,             0.10064,            0.043715,             0.04286,            0.021494,            0.019989,            0.019989,            0.019989
                   5,             0.04804,            0.068192,              0.0216,             0.65036,             0.29433,             0.27718,             0.14785,            0.037915,             0.04017,            0.019166,             0.01998,             0.01998,             0.01998
                   6,            0.045627,            0.066121,            0.019633,             0.39015,             0.37881,             0.30901,              0.1579,            0.038518,            0.039833,            0.017944,            0.019969,            0.019969,            0.019969
                   7,            0.044306,            0.066443,            0.018945,             0.52224,             0.28734,             0.23437,             0.12218,            0.036985,             0.04181,            0.025266,            0.019956,            0.019956,            0.019956
                   8,            0.043157,             0.06552,            0.017113,             0.72298,             0.40205,             0.43251,             0.24387,            0.033116,            0.037897,            0.014906,             0.01994,             0.01994,             0.01994
                   9,            0.042138,             0.06491,            0.015973,             0.73015,             0.41959,             0.45396,             0.25508,            0.031514,            0.036983,            0.015655,            0.019922,            0.019922,            0.019922
