               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10419,             0.14516,            0.060298,             0.89515,             0.05639,            0.039384,           0.0090833,            0.084645,            0.044857,            0.042117,               0.006,               0.006,               0.076
                   1,            0.086412,            0.064988,            0.036183,              0.9229,            0.071899,            0.080631,             0.02526,            0.073767,            0.041531,             0.03544,            0.012019,            0.012019,            0.051919
                   2,            0.081375,            0.063732,             0.03072,             0.82449,             0.13713,             0.12942,            0.035135,            0.071305,            0.040538,            0.027193,            0.018036,            0.018036,            0.027836
                   3,            0.075038,             0.06267,            0.026144,             0.73783,             0.14743,             0.15246,            0.061866,             0.05921,            0.041451,            0.027281,            0.019989,            0.019989,            0.019989
                   4,            0.068162,            0.063345,            0.024266,             0.71551,             0.21923,             0.20153,            0.098216,            0.055134,            0.038813,            0.023919,            0.019989,            0.019989,            0.019989
                   5,            0.064727,            0.061439,            0.023186,             0.89728,             0.15923,             0.20524,            0.095012,            0.057231,            0.042639,            0.023334,             0.01998,             0.01998,             0.01998
                   6,            0.061851,            0.061478,            0.022044,             0.64485,             0.30004,             0.27757,             0.14474,            0.047407,            0.037803,            0.020191,            0.019969,            0.019969,            0.019969
                   7,            0.060332,             0.05977,            0.020536,             0.35915,             0.42705,             0.30723,             0.16192,            0.048755,            0.036522,            0.020593,            0.019956,            0.019956,            0.019956
                   8,            0.058812,            0.059339,            0.019432,             0.54447,             0.35633,             0.31681,             0.17586,             0.04521,            0.035576,            0.018971,             0.01994,             0.01994,             0.01994
                   9,            0.057128,            0.058576,            0.018457,             0.62633,             0.41072,             0.38739,             0.21192,            0.043519,            0.035149,            0.016837,            0.019922,            0.019922,            0.019922
                  10,            0.056027,            0.058109,            0.017046,             0.72809,             0.42302,             0.45492,             0.25025,            0.042512,            0.034885,            0.014929,            0.019901,            0.019901,            0.019901
                  11,            0.055493,            0.058055,             0.01601,             0.73071,             0.41787,             0.44113,             0.23059,             0.04521,            0.035834,            0.015113,            0.019878,            0.019878,            0.019878
                  12,            0.054278,            0.056483,            0.015297,             0.77408,             0.44663,             0.50313,             0.27745,            0.041811,            0.034704,            0.012457,            0.019853,            0.019853,            0.019853
                  13,            0.053084,            0.056324,            0.014677,             0.75314,             0.46406,             0.50418,             0.28565,            0.040181,            0.033304,            0.012668,            0.019825,            0.019825,            0.019825
                  14,            0.052882,            0.055043,            0.014268,             0.77924,             0.46536,             0.52294,             0.31201,            0.038887,            0.033149,            0.012432,            0.019794,            0.019794,            0.019794
                  15,             0.05257,            0.056884,            0.013326,             0.77918,             0.49858,             0.58448,               0.349,            0.039563,            0.032785,            0.011365,            0.019762,            0.019762,            0.019762
                  16,            0.052229,            0.055282,            0.012469,              0.7809,             0.51704,             0.59639,             0.34895,            0.039249,            0.033351,           0.0092898,            0.019726,            0.019726,            0.019726
                  17,             0.05136,            0.056075,            0.012096,             0.82007,               0.519,             0.61995,             0.37186,            0.037157,            0.031899,           0.0092477,            0.019689,            0.019689,            0.019689
                  18,            0.050499,            0.055658,            0.011506,             0.81003,             0.50071,             0.58233,             0.35199,            0.037779,            0.032499,           0.0091817,            0.019649,            0.019649,            0.019649
