               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10685,             0.19951,            0.057659,             0.90075,            0.061262,            0.045589,            0.011301,            0.084043,            0.042182,            0.039158,               0.006,               0.006,               0.076
                   1,            0.088555,            0.062969,            0.035208,             0.90227,            0.067799,            0.065361,            0.017956,            0.073262,            0.042309,             0.03558,            0.012019,            0.012019,            0.051919
                   2,            0.082056,            0.062835,            0.029523,              0.5261,             0.21853,             0.13256,            0.045397,            0.071176,            0.040129,            0.026751,            0.018036,            0.018036,            0.027836
                   3,            0.075611,             0.06255,            0.025959,             0.85434,             0.16666,             0.18897,             0.08209,            0.058084,            0.041543,            0.023534,            0.019989,            0.019989,            0.019989
                   4,            0.068967,            0.062329,             0.02385,             0.73649,             0.22145,             0.20178,            0.091419,            0.057491,            0.038872,             0.02351,            0.019989,            0.019989,            0.019989
                   5,            0.064826,            0.061704,            0.023072,             0.72376,              0.2512,             0.22921,             0.10601,            0.053185,            0.039081,             0.02172,             0.01998,             0.01998,             0.01998
                   6,            0.062593,            0.061352,            0.022066,             0.90814,             0.18606,             0.25371,             0.13302,            0.047697,            0.039163,            0.021336,            0.019969,            0.019969,            0.019969
                   7,            0.060477,            0.059404,            0.020792,             0.32596,             0.46018,             0.28689,             0.15536,            0.046396,            0.036659,            0.019329,            0.019956,            0.019956,            0.019956
                   8,            0.059523,            0.058873,            0.019294,             0.69125,             0.32367,             0.34006,             0.18641,            0.045929,            0.036108,            0.017767,             0.01994,             0.01994,             0.01994
                   9,            0.058176,            0.059237,            0.018145,             0.74345,             0.34612,             0.38662,             0.20704,            0.043884,            0.036907,            0.017372,            0.019922,            0.019922,            0.019922
                  10,            0.056661,            0.058573,            0.017161,             0.65364,              0.4183,              0.4189,             0.22291,            0.043482,            0.034787,            0.014851,            0.019901,            0.019901,            0.019901
                  11,            0.056314,             0.05803,            0.015866,             0.75149,             0.40963,             0.45587,              0.2505,            0.042443,            0.035043,             0.01539,            0.019878,            0.019878,            0.019878
                  12,             0.05506,            0.057826,            0.015106,             0.75149,             0.43415,              0.4815,             0.26328,            0.042179,            0.034214,            0.012385,            0.019853,            0.019853,            0.019853
                  13,            0.053999,            0.056849,            0.014807,             0.72936,             0.45465,             0.48601,             0.27388,            0.040659,            0.033412,            0.012933,            0.019825,            0.019825,            0.019825
                  14,            0.053569,            0.056766,            0.013486,             0.78359,              0.4718,             0.56126,             0.32852,            0.039903,            0.033126,            0.011045,            0.019794,            0.019794,            0.019794
                  15,            0.052577,            0.056297,            0.012975,             0.78398,             0.48775,             0.56716,             0.32135,                0.04,            0.032241,            0.010604,            0.019762,            0.019762,            0.019762
