               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081346,             0.21059,            0.052973,             0.71814,             0.18017,             0.17092,            0.068232,            0.048323,            0.040911,            0.028623,               0.003,               0.003,               0.073
                   1,            0.058595,            0.063624,             0.02485,              0.2953,             0.35992,             0.21694,            0.093139,            0.046899,            0.038465,            0.028059,           0.0059803,           0.0059803,             0.04588
                   2,            0.052506,            0.061505,            0.019916,              0.4554,             0.46037,             0.40362,             0.19594,             0.03856,            0.035828,            0.017104,           0.0089307,           0.0089307,            0.018731
                   3,            0.047427,            0.060178,            0.015684,             0.74929,             0.50601,             0.52832,             0.27927,            0.031518,            0.034863,            0.010966,           0.0098515,           0.0098515,           0.0098515
                   4,            0.041367,            0.059001,            0.012572,             0.80446,             0.49533,             0.59068,             0.31259,            0.031897,            0.033205,           0.0094982,           0.0098515,           0.0098515,           0.0098515
                   5,            0.039259,            0.058147,            0.010809,              0.7538,              0.5671,             0.61914,             0.38019,             0.02734,             0.03365,            0.010097,            0.009802,            0.009802,            0.009802
                   6,            0.037177,            0.056903,           0.0096507,             0.79186,             0.62924,             0.70106,             0.44394,            0.027102,            0.031323,           0.0070797,           0.0097525,           0.0097525,           0.0097525
                   7,            0.035911,            0.056781,           0.0088212,             0.79748,             0.67736,              0.7737,             0.49017,            0.027695,             0.03086,           0.0054729,            0.009703,            0.009703,            0.009703
                   8,            0.034716,            0.054845,           0.0079816,             0.79554,              0.6678,             0.77426,             0.51145,            0.025293,            0.031396,           0.0054409,           0.0096535,           0.0096535,           0.0096535
                   9,            0.033837,            0.054802,            0.007441,             0.80248,             0.66534,             0.78971,             0.52166,            0.024343,            0.030191,           0.0055305,            0.009604,            0.009604,            0.009604
                  10,            0.033403,            0.054142,           0.0069891,             0.82053,             0.69225,             0.80236,             0.52818,            0.024936,            0.030002,           0.0048464,           0.0095545,           0.0095545,           0.0095545
                  11,            0.031839,            0.053213,           0.0067958,             0.84997,             0.66462,             0.82109,             0.56056,            0.023152,            0.029226,           0.0054895,            0.009505,            0.009505,            0.009505
                  12,            0.031718,            0.052949,           0.0064722,             0.83937,             0.69451,             0.83687,             0.55112,            0.023706,             0.02941,           0.0043031,           0.0094555,           0.0094555,           0.0094555
                  13,            0.031137,            0.051856,            0.006464,             0.82736,             0.71234,             0.85354,             0.58769,            0.023056,            0.029616,           0.0035544,            0.009406,            0.009406,            0.009406
                  14,             0.03105,            0.051773,           0.0058753,             0.64024,              0.8933,             0.87802,             0.61599,            0.022243,            0.028001,           0.0033003,           0.0093565,           0.0093565,           0.0093565
                  15,            0.030365,            0.051327,           0.0057895,             0.70119,             0.80059,             0.84381,             0.57907,            0.022602,            0.028745,            0.004011,            0.009307,            0.009307,            0.009307
                  16,            0.030126,            0.050881,           0.0056205,             0.76476,             0.85291,             0.90667,             0.62486,            0.021848,            0.027761,           0.0029423,           0.0092575,           0.0092575,           0.0092575
                  17,            0.029781,            0.051325,           0.0052861,             0.83643,             0.83167,             0.88658,             0.63128,             0.02142,            0.027658,           0.0025786,            0.009208,            0.009208,            0.009208
                  18,             0.02956,            0.050798,            0.004967,             0.84941,             0.83557,             0.90455,             0.63301,            0.021623,            0.026952,           0.0025527,           0.0091585,           0.0091585,           0.0091585
                  19,            0.029346,             0.05027,           0.0052914,             0.81304,             0.86506,              0.9058,             0.62988,            0.021659,            0.027198,            0.002679,            0.009109,            0.009109,            0.009109
                  20,              0.0289,            0.050485,           0.0049355,             0.83684,             0.85142,              0.9008,             0.62817,            0.021221,            0.027405,           0.0024231,           0.0090595,           0.0090595,           0.0090595
                  21,            0.028755,            0.049194,           0.0047696,             0.85422,             0.85145,             0.92515,             0.65727,            0.020889,            0.026705,           0.0021998,             0.00901,             0.00901,             0.00901
                  22,             0.02859,            0.050387,           0.0048736,             0.86624,             0.83554,             0.90859,             0.64243,            0.020922,            0.026775,           0.0025749,           0.0089605,           0.0089605,           0.0089605
                  23,            0.028517,            0.049942,           0.0044838,             0.84574,             0.83368,             0.90507,             0.64287,            0.020422,            0.025982,           0.0024473,            0.008911,            0.008911,            0.008911
                  24,            0.028215,            0.049012,           0.0044989,             0.89183,             0.83214,             0.92257,             0.65674,            0.020702,            0.026948,           0.0023039,           0.0088615,           0.0088615,           0.0088615
                  25,            0.027659,            0.048326,           0.0042259,             0.89737,             0.85749,             0.92938,             0.66781,            0.020226,            0.026174,           0.0019428,            0.008812,            0.008812,            0.008812
                  26,            0.027626,            0.048797,           0.0043823,             0.89741,             0.86827,             0.93618,             0.66915,            0.020094,            0.025352,           0.0019692,           0.0087625,           0.0087625,           0.0087625
                  27,            0.027107,            0.048121,           0.0043443,             0.89059,             0.86884,             0.94222,             0.68483,            0.019886,            0.025433,           0.0019634,            0.008713,            0.008713,            0.008713
                  28,            0.027115,            0.048825,           0.0041519,             0.89075,             0.89053,             0.94429,             0.68122,            0.019685,            0.025042,           0.0018232,           0.0086635,           0.0086635,           0.0086635
