               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086677,             0.16176,            0.062213,             0.16776,            0.090721,            0.021886,           0.0041385,            0.074871,            0.060404,             0.04491,               0.006,               0.006,               0.076
                   1,            0.071265,            0.077555,            0.038247,             0.92726,            0.062289,             0.08151,            0.021024,            0.060623,            0.046379,            0.036934,            0.012019,            0.012019,            0.051919
                   2,            0.064415,            0.073161,             0.03233,               0.802,             0.13136,              0.1029,            0.034244,            0.055318,            0.052453,            0.027799,            0.018036,            0.018036,            0.027836
                   3,            0.059583,            0.073005,            0.026757,             0.86365,             0.15833,             0.17325,            0.072923,            0.046256,            0.047295,            0.024799,            0.019989,            0.019989,            0.019989
                   4,            0.053354,            0.070079,            0.023941,              0.7521,             0.19259,              0.2051,            0.096952,            0.043917,            0.043034,              0.0254,            0.019989,            0.019989,            0.019989
                   5,            0.049515,            0.068831,            0.022977,             0.88927,             0.18284,             0.21932,             0.10357,            0.042416,            0.044716,            0.021835,             0.01998,             0.01998,             0.01998
                   6,            0.047709,            0.067072,            0.022121,              0.9035,             0.19608,             0.25373,             0.13093,            0.038031,            0.040746,            0.022336,            0.019969,            0.019969,            0.019969
                   7,            0.046361,            0.067222,            0.021421,              0.3123,             0.47446,             0.29356,             0.15428,            0.037307,            0.039873,            0.020063,            0.019956,            0.019956,            0.019956
                   8,            0.044999,            0.065623,            0.020022,              0.6373,             0.32917,             0.31966,              0.1741,            0.035423,            0.038955,            0.019067,             0.01994,             0.01994,             0.01994
                   9,             0.04411,            0.064701,            0.019317,             0.39639,             0.43836,              0.3594,             0.18865,            0.036659,            0.040349,            0.017365,            0.019922,            0.019922,            0.019922
                  10,            0.042918,            0.064558,            0.018036,             0.62923,             0.44519,             0.41143,             0.22646,            0.033756,            0.037396,            0.016656,            0.019901,            0.019901,            0.019901
                  11,            0.041895,            0.064155,            0.017064,             0.71727,             0.37949,             0.41944,             0.23422,            0.032196,            0.036361,            0.016987,            0.019878,            0.019878,            0.019878
                  12,            0.041502,            0.062408,            0.015741,             0.73021,             0.42902,             0.46319,             0.25058,            0.032624,            0.036078,             0.01366,            0.019853,            0.019853,            0.019853
                  13,             0.04104,            0.062441,            0.015458,             0.72436,             0.42759,             0.46282,             0.25924,            0.033078,            0.037074,            0.013659,            0.019825,            0.019825,            0.019825
                  14,            0.040618,            0.062486,            0.014418,             0.76996,             0.45647,              0.5047,             0.28133,             0.03187,            0.035024,            0.014005,            0.019794,            0.019794,            0.019794
                  15,            0.039733,            0.061033,            0.013723,             0.62013,             0.50294,              0.5356,             0.30941,            0.030122,            0.034686,            0.011989,            0.019762,            0.019762,            0.019762
                  16,            0.039357,            0.060691,            0.013048,             0.76519,             0.50355,             0.56992,             0.32797,            0.030534,            0.034657,            0.010493,            0.019726,            0.019726,            0.019726
                  17,            0.038899,            0.060513,            0.012417,             0.64136,             0.50149,             0.54241,             0.31659,            0.030323,            0.034365,            0.010356,            0.019689,            0.019689,            0.019689
                  18,            0.038121,            0.060532,            0.011922,             0.80476,             0.47866,             0.55407,              0.3225,            0.029304,            0.034539,             0.00994,            0.019649,            0.019649,            0.019649
                  19,            0.037703,              0.0586,            0.012139,             0.65224,              0.5845,             0.59178,              0.3505,            0.028874,            0.033744,           0.0088898,            0.019607,            0.019607,            0.019607
                  20,            0.037341,            0.059436,             0.01135,              0.6882,              0.5763,             0.59135,              0.3566,            0.028829,             0.03309,            0.010801,            0.019562,            0.019562,            0.019562
                  21,            0.037343,            0.058576,            0.010824,             0.75827,             0.55562,              0.6212,             0.37346,            0.028392,            0.032608,            0.009333,            0.019515,            0.019515,            0.019515
                  22,            0.036625,            0.058364,            0.010793,             0.78504,             0.55482,             0.66234,             0.40339,            0.027984,            0.032587,           0.0086715,            0.019466,            0.019466,            0.019466
                  23,            0.036626,            0.057794,            0.010469,             0.75061,             0.62987,             0.69576,             0.43039,             0.02753,              0.0323,           0.0074455,            0.019415,            0.019415,            0.019415
                  24,            0.036425,             0.05827,            0.010172,             0.78839,             0.58351,             0.64973,             0.39202,            0.027255,            0.032229,            0.007614,            0.019361,            0.019361,            0.019361
                  25,            0.035583,            0.057806,            0.009605,             0.77281,             0.61852,              0.6834,             0.42154,            0.026957,            0.032455,           0.0071468,            0.019305,            0.019305,            0.019305
                  26,            0.035448,            0.057461,           0.0092845,             0.76653,             0.61037,             0.69038,             0.43458,            0.026764,             0.03164,           0.0080253,            0.019246,            0.019246,            0.019246
                  27,            0.035324,            0.056865,           0.0090921,             0.80541,             0.62179,             0.72999,             0.45652,            0.026619,             0.03113,           0.0065997,            0.019186,            0.019186,            0.019186
                  28,            0.035437,            0.056533,           0.0092279,             0.80698,             0.62284,              0.7453,             0.47317,            0.026562,            0.031096,            0.007047,            0.019123,            0.019123,            0.019123
                  29,            0.035141,             0.05659,           0.0088116,             0.82057,             0.65773,             0.76653,             0.48221,            0.025941,            0.031445,           0.0051224,            0.019058,            0.019058,            0.019058
                  30,            0.035055,            0.056176,           0.0083829,             0.80649,             0.65358,             0.74724,             0.47385,            0.026054,              0.0306,           0.0054311,             0.01899,             0.01899,             0.01899
                  31,            0.034633,            0.056578,           0.0084739,             0.81388,             0.63526,             0.75776,             0.48269,            0.025925,            0.030673,           0.0059588,            0.018921,            0.018921,            0.018921
                  32,            0.034196,            0.056735,            0.008215,             0.81701,             0.65544,             0.78022,               0.492,            0.025617,            0.031256,           0.0054387,            0.018849,            0.018849,            0.018849
                  33,            0.034209,            0.055976,           0.0077896,             0.81681,             0.67012,             0.78525,             0.50119,             0.02511,            0.030257,           0.0046158,            0.018775,            0.018775,            0.018775
                  34,            0.034144,            0.056255,           0.0076174,              0.6801,             0.77027,             0.78871,             0.49951,            0.025272,            0.030062,           0.0055284,            0.018699,            0.018699,            0.018699
                  35,            0.033716,             0.05481,           0.0075529,             0.70323,             0.77278,             0.80004,             0.51268,            0.024784,            0.030111,           0.0052297,            0.018621,            0.018621,            0.018621
                  36,            0.033491,            0.054844,           0.0073801,             0.75143,             0.78155,             0.82562,              0.5403,            0.024665,            0.029457,           0.0043419,            0.018541,            0.018541,            0.018541
                  37,             0.03341,            0.055688,           0.0072448,             0.70512,             0.80567,             0.82908,             0.53589,            0.024473,            0.029536,           0.0042969,            0.018459,            0.018459,            0.018459
                  38,            0.033488,            0.055005,           0.0071208,             0.78492,             0.77965,             0.84381,             0.55887,            0.024203,            0.029194,           0.0037423,            0.018374,            0.018374,            0.018374
                  39,            0.032931,            0.054312,           0.0071568,             0.81447,             0.77319,              0.8431,             0.55499,            0.024073,            0.028961,           0.0039519,            0.018288,            0.018288,            0.018288
                  40,            0.033007,            0.054758,           0.0068427,              0.8407,             0.77232,             0.85848,             0.56911,            0.023689,            0.028978,           0.0040056,              0.0182,              0.0182,              0.0182
                  41,            0.032988,            0.054748,           0.0068292,              0.8552,             0.76164,             0.86559,             0.57103,            0.023695,            0.028558,           0.0034858,            0.018109,            0.018109,            0.018109
                  42,            0.032364,             0.05326,           0.0066125,             0.82485,             0.81351,             0.87637,             0.57934,            0.023511,            0.028658,           0.0033724,            0.018017,            0.018017,            0.018017
                  43,            0.032302,            0.052828,           0.0065093,             0.82049,             0.80957,             0.86348,             0.57718,            0.023678,            0.028551,           0.0040608,            0.017923,            0.017923,            0.017923
                  44,             0.03274,             0.05403,           0.0066148,             0.82936,               0.829,             0.87877,             0.59349,            0.023214,            0.028134,            0.003342,            0.017826,            0.017826,            0.017826
                  45,             0.03213,            0.053334,           0.0061526,             0.83544,             0.84281,             0.88523,              0.5919,             0.02322,            0.028167,           0.0028134,            0.017728,            0.017728,            0.017728
                  46,            0.032133,            0.053214,           0.0062665,             0.84773,             0.82262,             0.88244,             0.58395,            0.023208,            0.028131,           0.0028406,            0.017628,            0.017628,            0.017628
